Category,Dept,Number,Title,Fall,Spring
Visual Design,ART,26,The Moving Image,,
Visual Design,ART,171,Digital Video: The Architecture of Time,,
Visual Design,ART,173,Sound Art,,
Visual Design,ART,174,Advanced Digital Video,,
Visual Design,ART,180,Advanced Digital Photography,,
Visual Design,ART,98 / 198,UCBUGG: Art and Story,,
Visual Design,COMPSCI,294,Visualization,,
Visual Design,COMPSCI,98 / 198,Web Design Decal,,
Visual Design,COMPSCI,98 / 198,Typography Decal,,
Visual Design,COMPSCI,98 / 198,Innovative Design Photoshop + Illustrator Decal,,
Visual Design,COMPSCI,98 / 198,Principles of Graphic Design Decal,,
Visual Design,HISTART,185A,American Art (1800-Present),,
